period,Company,Open,Highest,Lowest,Close,Change,Change %,Volume Traded,Value Traded
6 Months,SAUDI GERMAN HEALTH,58.00,60.7,37.8,38.4,-19.6,-33.79,"44,384,660","25,020,283.30"
6 Months,MEDGULF,19.50,20.75,12.8,12.94,-6.56,-33.64,"144,572,966","4,319,614.51"
6 Months,YC,35.25,36.8,22.59,23.63,-11.62,-32.96,"49,492,278","8,645,820.91"
6 Months,GULF GENERAL,6.36,6.6,4.22,4.29,-2.07,-32.55,"47,642,435","445,295.78"
6 Months,WALAA,17.68,18.1,10.8,12.05,-5.63,-31.84,"121,833,868","3,905,109.62"
6 Months,ALDAWAA,78.70,80.5,54,54.4,-24.3,-30.88,"17,483,212","5,719,675.35"
6 Months,CATRION,118.20,126.4,80.9,82.5,-35.7,-30.20,"17,292,001","9,927,740.40"
6 Months,TAPRCO,26.33,31,18.33,18.46,-7.87,-29.89,"28,743,396","3,552,724.40"
6 Months,ACIG,12.48,12.98,8.75,8.76,-3.72,-29.81,"56,664,121","1,364,403.97"
6 Months,SFICO,97.00,107,68,68.2,-28.8,-29.69,"9,280,624","10,012,699.25"
6 Months,ALAMAR,60.00,60.9,41,42.48,-17.52,-29.20,"18,778,557","1,790,042.08"
6 Months,ALRAJHI TAKAFUL,121.60,132.8,84,86.35,-35.25,-28.99,"21,294,279","14,135,367.30"
6 Months,JABAL OMAR,21.10,21.98,14.83,15.16,-5.94,-28.15,"468,487,303","42,188,951.30"
6 Months,BUILD STATION,80.80,93,56.95,58.35,-22.45,-27.78,"28,385,972","3,938,225.35"
6 Months,GULF UNION ALAHLIA,15.42,15.64,10.86,11.14,-4.28,-27.76,"13,789,079","668,459.54"
6 Months,SAIC,25.45,29.18,17.75,18.39,-7.06,-27.74,"38,591,663","3,753,290.24"
6 Months,CITY CEMENT,17.92,17.96,12.56,12.95,-4.97,-27.73,"35,396,990","1,576,704.50"
6 Months,ACWA POWER,267.69,274.8,186.2,194.5,-73.19,-27.34,"57,585,780","40,649,285.90"
6 Months,SAPTCO,14.10,15,10.09,10.26,-3.84,-27.23,"67,985,381","3,436,073.46"
6 Months,OBEIKAN GLASS,37.00,41.6,24.59,27.16,-9.84,-26.59,"24,913,126","13,592,904.04"
6 Months,MBC GROUP,43.30,44.4,27.56,31.98,-11.32,-26.14,"239,241,357","6,180,132.62"
6 Months,MESC,31.70,35.2,22.28,23.5,-8.2,-25.87,"57,009,471","9,590,278.62"
6 Months,YCC,20.52,20.88,15.18,15.31,-5.21,-25.39,"53,818,245","3,138,624.01"
6 Months,AMANA INSURANCE,8.20,9.27,6,6.12,-2.08,-25.37,"28,582,352","1,418,228.01"
6 Months,SSP,56.20,58.75,39.8,42,-14.2,-25.27,"21,606,001","14,122,896.20"
6 Months,RIYADH CEMENT,32.10,33,22.98,24,-8.1,-25.23,"34,713,283","5,664,214.04"
6 Months,HB,44.30,47.76,32.9,33.14,-11.16,-25.19,"11,594,954","2,121,681.34"
6 Months,ELM,"1,027.60",1033.6,745,769.5,-258.1,-25.12,"9,432,333","39,862,054.50"
6 Months,EPCCO,31.25,32.06,23,23.46,-7.79,-24.93,"23,392,736","1,772,945.86"
6 Months,HERFY FOODS,21.22,26.36,15.61,15.94,-5.28,-24.88,"24,767,662","7,770,365.07"
6 Months,WATANIYA,17.30,18.32,12.87,13.02,-4.28,-24.74,"26,682,303","3,612,160.18"
6 Months,APC,6.71,6.92,4.93,5.06,-1.65,-24.59,"444,379,151","9,071,364.02"
6 Months,MALATH INSURANCE,13.58,14,10.13,10.29,-3.29,-24.23,"22,725,995","900,475.47"
6 Months,SPPC,10.68,13.87,8,8.12,-2.56,-23.97,"56,809,853","1,234,165.96"
6 Months,UACC,16.82,17.26,12.29,12.8,-4.02,-23.90,"10,391,094","1,286,378.36"
6 Months,ENTAJ,44.55,45.7,32.9,34,-10.55,-23.68,"22,625,158","1,302,892.52"
6 Months,SPCC,29.30,30,21.95,22.39,-6.91,-23.58,"10,485,836","1,709,884.37"
6 Months,ARABIAN SHIELD,15.68,16.58,11.25,12.03,-3.65,-23.28,"19,862,015","806,988.96"
6 Months,SVCP,28.95,32.42,21.95,22.25,-6.7,-23.14,"4,916,605","545,286.04"
6 Months,SIDC,16.51,22.98,12.59,12.7,-3.81,-23.08,"45,310,656","6,072,536.46"
6 Months,WAFRAH,28.70,30.7,21.67,22.09,-6.61,-23.03,"11,999,679","1,101,127.28"
6 Months,JOUF CEMENT,8.66,8.74,6.39,6.67,-1.99,-22.98,"47,811,814","449,252.58"
6 Months,CHEMANOL,11.56,13.96,8.59,8.91,-2.65,-22.92,"53,805,147","2,022,129.27"
6 Months,ALANDALUS,23.08,23.16,16.7,17.8,-5.28,-22.88,"9,978,586","306,114.48"
6 Months,ALHAMMADI,37.65,38.8,28.92,29.12,-8.53,-22.66,"38,227,890","3,693,924.80"
6 Months,ALMAJDIAH,13.83,14.46,9.97,10.7,-3.13,-22.63,"184,989,646","12,121,048.94"
6 Months,SMC HEALTHCARE,24.16,25,17.62,18.7,-5.46,-22.60,"139,126,347","13,844,990.15"
6 Months,SALAMA,12.56,14.34,9.78,9.8,-2.76,-21.97,"26,594,200","999,161.26"
6 Months,FLYNAS,77.30,84.1,60.25,60.35,-16.95,-21.93,"131,077,300","27,043,987.30"
6 Months,SIIG,17.36,20,13.5,13.6,-3.76,-21.66,"137,615,037","9,303,922.93"
6 Months,ARDCO,32.20,35.92,24.88,25.24,-6.96,-21.61,"25,448,711","3,560,713.36"
6 Months,FARM SUPERSTORES,18.24,18.6,14.04,14.3,-3.94,-21.60,"10,131,033","363,907.82"
6 Months,TECO,15.60,24.4,12.14,12.24,-3.36,-21.54,"330,187,002","3,523,423.57"
6 Months,ALKHALEEJ TRNG,26.60,29.38,20.24,20.88,-5.72,-21.50,"27,736,698","4,617,008.64"
6 Months,SAICO,15.20,15.89,11.84,11.99,-3.21,-21.12,"14,716,064","480,369.60"
6 Months,BINDAWOOD,5.98,6.69,4.54,4.73,-1.25,-20.90,"103,042,079","6,523,783.12"
6 Months,MASAR,23.08,26.98,18.13,18.28,-4.8,-20.80,"330,064,858","49,741,675.90"
6 Months,MUTAKAMELA,14.90,17.17,11.47,11.83,-3.07,-20.60,"15,386,305","522,560.93"
6 Months,ALMUNAJEM,68.70,79.5,53,54.9,-13.8,-20.09,"22,489,726","2,211,282.10"
6 Months,ALUJAIN,37.00,38.3,29.72,29.72,-7.28,-19.68,"30,558,960","7,186,409.42"
6 Months,NAHDI,119.80,132.1,95.6,96.3,-23.5,-19.62,"26,633,916","33,001,760.55"
6 Months,TADCO,10.32,11.94,8.22,8.32,-2,-19.38,"14,012,274","335,037.70"
6 Months,ENAYA,9.22,10.43,7.31,7.44,-1.78,-19.31,"22,367,876","774,868.75"
6 Months,AMIANTIT,20.74,23.6,16.55,16.77,-3.97,-19.14,"58,187,310","2,576,199.16"
6 Months,TAKWEEN,7.78,8.67,6.15,6.3,-1.48,-19.02,"31,928,498","471,068.57"
6 Months,QACCO,51.60,51.7,40.5,42.02,-9.58,-18.57,"27,835,533","4,752,113.70"
6 Months,DAR ALARKAN,19.50,20.97,15,15.89,-3.61,-18.51,"169,122,442","15,105,649.40"
6 Months,NAJRAN CEMENT,8.35,8.46,6.8,6.82,-1.53,-18.32,"31,669,344","1,433,671.50"
6 Months,TAWUNIYA,148.60,161,114.2,121.7,-26.9,-18.10,"50,231,702","31,571,151.60"
6 Months,SAUDI RE,33.73,36.09,27.1,27.64,-6.09,-18.06,"104,284,981","16,795,095.68"
6 Months,A.OTHAIM MARKET,8.08,8.15,6.6,6.64,-1.44,-17.82,"165,634,948","7,873,832.58"
6 Months,FITAIHI GROUP,3.54,3.75,2.85,2.91,-0.63,-17.80,"198,141,336","1,087,548.71"
6 Months,JADWA REIT ALHARAMAIN,5.90,5.93,4.8,4.85,-1.05,-17.80,"13,801,034","966,431.03"
6 Months,ALSAGR INSURANCE,12.42,15.1,10.1,10.21,-2.21,-17.79,"52,965,104","3,177,614.87"
6 Months,ARAB SEA,5.33,5.78,4.31,4.4,-0.93,-17.45,"92,231,124","1,091,171.15"
6 Months,BUPA ARABIA,174.00,182.4,140.6,143.8,-30.2,-17.36,"19,374,049","10,805,206.40"
6 Months,MIAHONA,22.98,28.14,18.75,19.03,-3.95,-17.19,"151,555,469","4,666,368.26"
6 Months,NAMA CHEMICALS,27.80,29.48,23,23.08,-4.72,-16.98,"6,983,398","1,175,571.60"
6 Months,ANAAM HOLDING,15.08,17.52,12.25,12.54,-2.54,-16.84,"74,287,070","1,603,176.76"
6 Months,ZOUJAJ,44.35,45.92,36.12,37,-7.35,-16.57,"25,510,229","2,547,871.40"
6 Months,ALASEEL,4.00,4.24,3.3,3.35,-0.65,-16.25,"84,134,469","374,152.63"
6 Months,AICC,11.82,12.62,9.7,9.91,-1.91,-16.16,"13,883,860","451,211.28"
6 Months,RETAL,14.44,16.43,10.88,12.13,-2.31,-16.00,"162,611,123","19,025,515.77"
6 Months,TCC,11.22,11.6,9.36,9.43,-1.79,-15.95,"26,624,029","338,075.84"
6 Months,SADAFCO,287.00,297.2,237,241.3,-45.7,-15.92,"3,535,998","2,899,131.30"
6 Months,LUMI,62.90,65,51.55,53,-9.9,-15.74,"15,396,853","2,431,174.75"
6 Months,AZM,28.60,31.7,22.67,24.1,-4.5,-15.73,"22,167,693","7,480,070.54"
6 Months,MEPCO,27.95,31.52,23.19,23.59,-4.36,-15.60,"39,483,816","1,984,115.06"
6 Months,EMAAR EC,12.98,14.76,10.72,10.96,-2.02,-15.56,"29,856,373","2,243,706.53"
6 Months,BANAN,4.59,5.32,3.86,3.88,-0.71,-15.47,"35,904,453","382,879.05"
6 Months,SIPCHEM,18.98,21.23,16,16.05,-2.93,-15.44,"240,768,191","36,621,829.58"
6 Months,SGS,46.35,51.7,38.98,39.2,-7.15,-15.43,"43,190,865","10,654,068.44"
6 Months,BURGERIZZR,17.00,18.1,14.15,14.39,-2.61,-15.35,"41,283,060","1,852,876.00"
6 Months,2P,10.33,10.77,8.45,8.76,-1.57,-15.20,"66,158,211","1,093,604.26"
6 Months,JAZIRA TAKAFUL,13.44,14,11.28,11.4,-2.04,-15.18,"10,245,868","1,475,827.52"
6 Months,SHARQIYAH DEV,16.40,18.3,13.85,13.92,-2.48,-15.12,"19,965,238","754,130.50"
6 Months,TALCO,43.35,45.62,32.88,36.8,-6.55,-15.11,"12,158,528","2,486,463.32"
6 Months,SOLUTIONS,262.20,272,219.9,222.7,-39.5,-15.06,"13,595,456","13,257,472.70"
6 Months,OASIS,2.60,2.76,2.18,2.21,-0.39,-15.00,"87,561,377","1,216,707.81"
6 Months,CMCER,8.25,9.14,6.95,7.02,-1.23,-14.91,"80,972,051","5,498,265.94"
6 Months,ASTRA INDUSTRIAL,158.20,161.7,130.9,134.7,-23.5,-14.85,"13,172,840","6,328,190.20"
6 Months,GAS,16.24,17.99,13.52,13.86,-2.38,-14.66,"15,795,058","637,934.31"
6 Months,SIECO,2.15,2.42,1.77,1.84,-0.31,-14.42,"273,631,233","6,121,813.19"
6 Months,SHAKER,27.10,29.78,22.9,23.21,-3.89,-14.35,"30,723,330","2,692,664.40"
6 Months,AMERICANA,2.09,2.43,1.76,1.79,-0.3,-14.35,"3,614,210,302","52,812,325.87"
6 Months,SMASCO,6.20,6.55,5.26,5.32,-0.88,-14.19,"181,337,682","2,285,633.32"
6 Months,SAVOLA GROUP,28.15,28.45,22.52,24.3,-3.85,-13.68,"80,676,906","20,028,324.51"
6 Months,SARCO,62.20,65.8,53.5,53.75,-8.45,-13.59,"10,824,447","2,217,723.95"
6 Months,CARE,164.00,183.5,140.3,142,-22,-13.41,"10,484,924","15,548,965.10"
6 Months,ALMARAI,51.00,54.05,43.5,44.2,-6.8,-13.33,"92,872,078","17,020,614.52"
6 Months,THEEB,66.30,68.6,57.25,57.5,-8.8,-13.27,"10,274,654","6,495,720.95"
6 Months,JAMJOOM PHARMA,173.60,181.3,141.9,151,-22.6,-13.02,"7,546,870","7,779,086.00"
6 Months,BJAZ,12.78,13.31,11.14,11.15,-1.63,-12.75,"383,909,072","37,946,004.09"
6 Months,EQUIPMENT HOUSE,37.20,41,31.66,32.5,-4.7,-12.63,"6,830,148","1,610,995.76"
6 Months,RIYADH CABLES,143.80,147.7,114.5,125.9,-17.9,-12.45,"29,078,981","13,729,681.10"
6 Months,JAZADCO,10.20,11.5,8.85,8.94,-1.26,-12.35,"13,937,328","193,028.50"
6 Months,FAKEEH CARE,42.25,43.3,36.68,37.04,-5.21,-12.33,"39,091,957","4,905,776.46"
6 Months,SINAD HOLDING,10.50,11.8,9.07,9.21,-1.29,-12.29,"29,250,048","319,302.41"
6 Months,MRNA,11.32,12.73,9.88,9.93,-1.39,-12.28,"20,926,714","494,970.61"
6 Months,RAOOM,66.30,70.6,54,58.2,-8.1,-12.22,"4,618,383","553,160.60"
6 Months,ARTEX,12.80,14.78,11.1,11.27,-1.53,-11.95,"13,651,350","1,476,420.24"
6 Months,NGC,18.70,24,15.6,16.5,-2.2,-11.76,"22,334,695","1,281,220.48"
6 Months,MODERN MILLS,35.20,36,29.6,31.16,-4.04,-11.48,"11,146,630","847,780.42"
6 Months,RIYAD REIT,5.67,5.82,4.95,5.03,-0.64,-11.29,"21,873,739","821,560.12"
6 Months,ALSAIF GALLERY,7.26,7.37,6.41,6.46,-0.8,-11.02,"47,457,897","403,749.13"
6 Months,SUMOU,39.90,43.7,34.75,35.52,-4.38,-10.98,"20,986,715","1,207,674.50"
6 Months,FIPCO,34.00,37.2,29.7,30.38,-3.62,-10.65,"7,717,654","836,349.02"
6 Months,SPM,62.80,66.8,48.82,56.2,-6.6,-10.51,"16,615,266","6,268,070.95"
6 Months,SEDCO CAPITAL REIT,6.89,7.25,6.17,6.17,-0.72,-10.45,"22,661,897","3,914,336.42"
6 Months,ALJAZIRA REIT,13.82,14.7,11.92,12.4,-1.42,-10.27,"9,063,524","1,043,833.33"
6 Months,LEEJAM SPORTS,127.60,151.7,111.2,114.5,-13.1,-10.27,"15,979,040","5,862,718.70"
6 Months,KINGDOM,8.62,8.94,7.03,7.74,-0.88,-10.21,"37,991,146","860,901.14"
6 Months,SAIB,14.44,14.81,12.85,12.97,-1.47,-10.18,"63,488,839","6,678,465.49"
6 Months,TASHEEL,170.80,178.9,143,154,-16.8,-9.84,"6,076,458","6,292,414.80"
6 Months,NCLE,160.60,183,138.4,145.1,-15.5,-9.65,"3,217,550","1,354,352.90"
6 Months,ALOMRAN,29.10,33.7,24.94,26.3,-2.8,-9.62,"8,296,113","616,868.56"
6 Months,ACC,23.42,23.93,20.43,21.18,-2.24,-9.56,"21,910,840","1,134,079.98"
6 Months,RAYDAN,29.13,32.4,26,26.36,-2.77,-9.51,"11,096,565","422,531.28"
6 Months,MEFIC REIT,3.79,3.85,3.4,3.43,-0.36,-9.50,"19,340,863","327,622.74"
6 Months,NADEC,20.42,22.7,18.02,18.52,-1.9,-9.30,"94,582,561","19,819,194.39"
6 Months,ALJOUF,46.10,48.44,40.65,41.88,-4.22,-9.15,"15,324,925","1,551,203.06"
6 Months,SAUDI CEMENT,39.95,41.58,35.4,36.3,-3.65,-9.14,"20,085,093","1,547,377.78"
6 Months,ALISTITHMAR REIT,7.90,9.87,6.7,7.19,-0.71,-8.99,"53,006,207","164,056.14"
6 Months,KEC,13.20,14.5,11.62,12.03,-1.17,-8.86,"43,082,296","988,881.77"
6 Months,BATIC,2.26,2.57,1.96,2.06,-0.2,-8.85,"1,098,027,843","8,892,580.37"
6 Months,SPORT CLUBS,9.30,13.46,7.59,8.5,-0.8,-8.60,"1,012,090,848","9,910,016.75"
6 Months,GO TELECOM,98.40,113.9,83.7,90,-8.4,-8.54,"37,192,399","13,467,698.10"
6 Months,BAAN,2.01,2.69,1.77,1.84,-0.17,-8.46,"659,225,224","5,279,075.04"
6 Months,SACO,28.85,33.34,25.3,26.44,-2.41,-8.35,"15,249,506","1,726,270.08"
6 Months,ALAHLI REIT 1,6.98,7.25,6.05,6.4,-0.58,-8.31,"6,955,663","76,722.31"
6 Months,TAIBA,37.35,43,32.85,34.3,-3.05,-8.17,"37,874,517","3,972,927.12"
6 Months,NORTHERN CEMENT,7.97,8.65,7.22,7.33,-0.64,-8.03,"38,845,153","682,512.71"
6 Months,ALINMA,26.35,28.02,23.94,24.27,-2.08,-7.89,"746,500,926","130,314,578.56"
6 Months,FIRST MILLS,53.60,60.2,46.86,49.44,-4.16,-7.76,"6,680,993","1,139,005.20"
6 Months,RIBL,27.85,29.22,25.3,25.72,-2.13,-7.65,"245,958,293","20,793,903.50"
6 Months,BSF,17.46,18.93,15.49,16.15,-1.31,-7.50,"273,266,380","38,211,694.74"
6 Months,CHEMICAL,7.56,7.93,6.06,7.01,-0.55,-7.28,"823,157,255","27,869,183.01"
6 Months,BUDGET SAUDI,70.00,78.95,64,65.15,-4.85,-6.93,"19,273,894","5,549,967.80"
6 Months,GIG,24.68,27.5,22.04,23.05,-1.63,-6.60,"11,328,222","12,010,238.07"
6 Months,ARABIAN MILLS,41.35,48.9,37,38.64,-2.71,-6.55,"13,673,976","1,429,351.98"
6 Months,LAZURDE,12.36,13.89,11.44,11.56,-0.8,-6.47,"29,452,326","827,555.65"
6 Months,TAMKEEN,53.40,62.9,46.8,50.25,-3.15,-5.90,"17,774,493","4,937,766.09"
6 Months,ASLAK,22.70,26.1,19.84,21.37,-1.33,-5.86,"9,342,837","463,047.73"
6 Months,MCDC,88.10,94.65,67.95,83,-5.1,-5.79,"23,226,800","4,091,914.25"
6 Months,LUBEREF,99.70,108,81.3,93.95,-5.75,-5.77,"34,415,611","85,321,710.05"
6 Months,AL AZIZIAH REIT,4.38,4.65,3.72,4.13,-0.25,-5.71,"23,491,048","104,022.56"
6 Months,SAB,32.30,34.9,29.9,30.46,-1.84,-5.70,"224,731,104","48,338,095.90"
6 Months,GACO,17.00,19.55,15.12,16.1,-0.9,-5.29,"14,563,868","360,871.92"
6 Months,TADAWUL GROUP,172.80,215,158.7,164,-8.8,-5.09,"16,865,455","24,861,612.40"
6 Months,SENAAT,38.50,47.96,28.68,36.54,-1.96,-5.09,"85,919,557","35,742,527.94"
6 Months,CHUBB,26.18,33.2,21.98,24.86,-1.32,-5.04,"37,295,725","7,442,733.70"
6 Months,SULAIMAN ALHABIB,258.20,281.2,227.7,245.8,-12.4,-4.80,"23,142,283","15,082,546.80"
6 Months,MUSHARAKA REIT,4.28,4.53,3.99,4.08,-0.2,-4.67,"9,689,842","114,330.83"
6 Months,AWPT,141.00,157.2,122.9,134.5,-6.5,-4.61,"8,042,212","4,909,032.00"
6 Months,BURUJ,16.78,19.9,14.62,16.01,-0.77,-4.59,"8,196,301","1,872,712.11"
6 Months,RED SEA,37.75,49.94,32.1,36.02,-1.73,-4.58,"70,477,885","14,729,735.38"
6 Months,MARAFIQ,40.75,45.3,36.5,38.9,-1.85,-4.54,"40,107,516","4,716,102.00"
6 Months,ALMASAR ALSHAMIL,23.09,24.48,18.33,22.1,-0.99,-4.29,"35,511,632","328,199,185.87"
6 Months,ALINMA RETAIL REIT,4.58,4.92,4.31,4.39,-0.19,-4.15,"22,288,902","433,404.11"
6 Months,ATAA,61.60,70.6,58,59.05,-2.55,-4.14,"5,042,904","1,791,610.95"
6 Months,MULKIA REIT,4.80,4.95,4.45,4.62,-0.18,-3.75,"8,980,725","98,131.56"
6 Months,LIVA,12.04,14.47,10.9,11.59,-0.45,-3.74,"20,345,289","150,840.11"
6 Months,MOUWASAT,72.60,80.7,67.9,70.25,-2.35,-3.24,"55,631,777","18,668,990.65"
6 Months,SAL,177.00,192,156,172.1,-4.9,-2.77,"18,258,025","43,507,247.40"
6 Months,DERAYAH REIT,5.56,5.75,5.29,5.41,-0.15,-2.70,"11,724,623","411,060.31"
6 Months,SRMG,147.00,202.1,137.2,143.3,-3.7,-2.52,"9,853,653","9,907,715.60"
6 Months,ALKATHIRI,2.01,2.29,1.86,1.96,-0.05,-2.49,"221,967,994","1,038,039.60"
6 Months,ALMAJED OUD,138.60,152.8,106.4,135.2,-3.4,-2.45,"12,078,527","5,114,155.50"
6 Months,SAUDI ELECTRICITY,14.48,16.05,13.72,14.15,-0.33,-2.28,"166,690,666","11,439,928.11"
6 Months,ALINMA HOSPITALITY REIT,8.32,8.47,8.03,8.15,-0.17,-2.04,"18,751,964","542,815.59"
6 Months,ALKHABEER REIT,5.72,5.85,5.51,5.61,-0.11,-1.92,"17,026,853","339,433.57"
6 Months,AVALON PHARMA,123.00,138.4,108,120.7,-2.3,-1.87,"3,685,963","2,219,678.40"
6 Months,Al RAJHI REIT,8.26,8.42,8.05,8.12,-0.14,-1.69,"23,146,057","1,323,478.32"
6 Months,FOURTH MILLING,3.76,4.23,3.34,3.7,-0.06,-1.60,"166,946,198","1,731,899.82"
6 Months,STC,43.00,45.38,40.7,42.32,-0.68,-1.58,"410,519,446","127,320,459.04"
6 Months,SADR,2.78,3.17,2.58,2.74,-0.04,-1.44,"198,793,474","5,408,166.99"
6 Months,SAUDI CERAMICS,28.65,34.64,24,28.24,-0.41,-1.43,"60,687,402","2,990,903.88"
6 Months,SAUDI ARAMCO,24.80,26.16,23.04,24.46,-0.34,-1.37,"1,549,500,176","169,536,793.44"
6 Months,AL MAATHER REIT,9.11,9.85,8.94,9,-0.11,-1.21,"6,226,245","401,223.00"
6 Months,SASCO,59.00,73.45,49.02,58.3,-0.7,-1.19,"33,833,446","9,944,529.40"
6 Months,AYYAN,13.68,14.6,11.4,13.53,-0.15,-1.10,"52,922,699","3,102,714.05"
6 Months,ZAIN KSA,10.76,11.74,10.02,10.65,-0.11,-1.02,"304,814,009","8,283,658.77"
6 Months,ALBILAD,25.85,30.16,23.38,25.68,-0.17,-0.66,"203,504,596","16,904,067.68"
6 Months,CHERRY,26.40,29.02,25.9,26.24,-0.16,-0.61,"16,503,089","54,277,653.40"
6 Months,NAYIFAT,12.50,14.18,11.8,12.44,-0.06,-0.48,"36,881,348","666,397.41"
6 Months,SABIC,55.20,64,53,54.95,-0.25,-0.45,"222,338,857","90,635,182.35"
6 Months,ALMAWARID,138.00,148.7,111,137.5,-0.5,-0.36,"6,578,012","5,977,743.70"
3 Months,ALARABIA,84.45,124.5,79.7,118.3,33.85,40.08,"21,441,598","52,541,130.80"
3 Months,BAHRI,21.90,32.5,21.24,29.5,7.6,34.70,"44,846,084","10,447,290.52"
3 Months,EAST PIPES,106.40,146.6,102.9,135.2,28.8,27.07,"12,198,323","7,620,343.20"
3 Months,AMAK,64.00,81.65,62,80.1,16.1,25.16,"23,735,051","20,565,502.85"
3 Months,RASAN,95.25,122,91.5,118,22.75,23.88,"33,555,184","146,571,411.40"
3 Months,ALMAJED OUD,110.00,147.5,106.4,135.2,25.2,22.91,"6,581,926","5,114,155.50"
3 Months,ARABIAN DRILLING,73.40,96.95,72.15,90,16.6,22.62,"21,557,571","15,303,385.45"
3 Months,EIC,9.19,12.16,8.5,11.25,2.06,22.42,"327,652,421","17,375,090.24"
3 Months,ALBABTAIN,56.20,68.8,53.2,68.7,12.5,22.24,"22,908,243","36,088,778.80"
3 Months,MIS,129.10,162.8,126.7,157.5,28.4,22.00,"4,407,874","12,409,003.30"
3 Months,MCDC,70.95,90.6,67.95,83,12.05,16.98,"13,142,634","4,091,914.25"
3 Months,SASCO,50.45,73.45,49.54,58.3,7.85,15.56,"19,779,319","9,944,529.40"
3 Months,AYYAN,11.74,14.08,11.54,13.53,1.79,15.25,"29,146,626","3,102,714.05"
3 Months,MAHARAH,4.75,5.84,4.39,5.42,0.67,14.11,"231,495,724","7,371,453.32"
3 Months,MBC GROUP,28.20,38,27.56,31.98,3.78,13.40,"210,844,390","6,180,132.62"
3 Months,ALDREES,115.60,154.1,110.7,131,15.4,13.32,"25,634,633","39,810,764.70"
3 Months,BAAZEEM,5.47,7.1,5.34,6.19,0.72,13.16,"38,818,178","3,013,532.13"
3 Months,ADES,14.94,17.85,14.27,16.85,1.91,12.78,"145,897,075","10,570,973.98"
3 Months,ALMAWARID,122.80,148.7,111,137.5,14.7,11.97,"4,606,299","5,977,743.70"
3 Months,LUBEREF,83.95,97.35,81.3,93.95,10,11.91,"20,393,747","85,321,710.05"
3 Months,SENAAT,32.88,39.56,28.68,36.54,3.66,11.13,"59,513,089","35,742,527.94"
3 Months,MAADEN,53.60,68.45,52.5,59.55,5.95,11.10,"113,363,304","89,644,038.40"
3 Months,DERAYAH,26.22,32,23.49,29,2.78,10.60,"40,899,601","10,672,504.50"
3 Months,GASCO,74.00,90,66.05,80.65,6.65,8.99,"4,896,853","3,176,471.15"
3 Months,NAQI,50.50,57.55,49.12,54.55,4.05,8.02,"2,465,062","1,419,353.75"
3 Months,SPM,52.15,60.45,48.82,56.2,4.05,7.77,"9,053,882","6,268,070.95"
3 Months,PETRO RABIGH,6.61,9.48,6.48,7.12,0.51,7.72,"609,306,710","13,157,398.39"
3 Months,SAUDI KAYAN,4.90,6.41,4.77,5.26,0.36,7.35,"442,970,746","11,482,177.77"
3 Months,CHEMICAL,6.55,7.93,6.06,7.01,0.46,7.02,"418,513,995","27,869,183.01"
3 Months,ABO MOATI,37.40,53.95,35.5,39.94,2.54,6.79,"34,684,095","13,365,562.50"
3 Months,CHUBB,23.31,33.2,23.31,24.86,1.55,6.65,"26,161,185","7,442,733.70"
3 Months,JADWA REIT SAUDI,10.28,11.38,10.16,10.95,0.67,6.52,"10,825,400","417,310.90"
3 Months,SAMBA,36.80,39.1,36.5,38.5,1.7,4.62,"10,917,458","343,828,273.55"
3 Months,AWPT,128.60,157.2,122.9,134.5,5.9,4.59,"4,598,453","4,909,032.00"
3 Months,SNB,35.18,41,33.3,36.62,1.44,4.09,"312,597,811","109,556,069.06"
3 Months,TASHEEL,148.00,178.9,143,154,6,4.05,"3,967,423","6,292,414.80"
3 Months,RETAL,11.69,13.58,10.88,12.13,0.44,3.76,"113,845,828","19,025,515.77"
3 Months,RAOOM,56.20,67.5,54,58.2,2,3.56,"2,522,706","553,160.60"
3 Months,MARAFIQ,37.60,45.3,36.5,38.9,1.3,3.46,"21,935,420","4,716,102.00"
3 Months,SAUDI ARAMCO,23.65,26.16,23.04,24.46,0.81,3.42,"781,055,363","169,536,793.44"
3 Months,ETIHAD ETISALAT,62.40,69,59.5,64.45,2.05,3.29,"58,204,433","52,207,618.70"
3 Months,WALAA,11.69,13.24,10.8,12.05,0.36,3.08,"87,987,613","3,905,109.62"
3 Months,SAL,167.40,186,162.8,172.1,4.7,2.81,"10,286,568","43,507,247.40"
3 Months,ZAIN KSA,10.40,11.74,10.15,10.65,0.25,2.40,"165,299,684","8,283,658.77"
3 Months,JOUF CEMENT,6.54,7.26,6.39,6.67,0.13,1.99,"18,659,094","449,252.58"
3 Months,TALEEM REIT,9.93,10.55,9.69,10.12,0.19,1.91,"1,911,414","167,675.29"
3 Months,KINGDOM,7.60,8.24,7.03,7.74,0.14,1.84,"20,807,105","860,901.14"
3 Months,SAB,30.00,33,29.9,30.46,0.46,1.53,"118,357,885","48,338,095.90"
3 Months,Sahara,17.20,17.48,16.3,17.46,0.26,1.51,"13,923,737","67,130,506.54"
3 Months,AL AZIZIAH REIT,4.07,4.39,3.72,4.13,0.06,1.47,"8,862,110","104,022.56"
3 Months,QACCO,41.50,44.36,40.5,42.02,0.52,1.25,"13,694,397","4,752,113.70"
3 Months,SAVOLA GROUP,24.00,27.76,22.52,24.3,0.3,1.25,"51,474,287","20,028,324.51"
3 Months,STC,41.80,45.38,41.14,42.32,0.52,1.24,"218,895,674","127,320,459.04"
3 Months,ALRAJHI,94.85,113,90.15,95.85,1,1.05,"260,065,144","225,873,836.35"
3 Months,ALBILAD,25.42,30.16,24.91,25.68,0.26,1.02,"94,397,818","16,904,067.68"
